test_project,n_train,n_test,defective,prevalence,roc_auc,pr_auc,brier,best_inner_pr_auc,best_class_weight,best_max_depth,best_max_features,best_min_samples_leaf,best_n_estimators
eclipse,4374,997,206,0.20661985957873621,0.7447927534275158,0.5299680892225997,0.2186815414249345,0.42718109983642905,balanced_subsample,10,sqrt,5,200
equinox,5047,324,129,0.39814814814814814,0.7595706618962432,0.6959220237198399,0.20136842793503595,0.377370463819789,balanced,10,sqrt,5,200
lucene,4680,691,64,0.09261939218523878,0.7457635566188198,0.33712930187555235,0.11425019931135966,0.46628877425093196,balanced,10,sqrt,5,200
mylyn,3509,1862,245,0.13157894736842105,0.7149483169891333,0.36864275590003415,0.11762870574961701,0.431235484554476,balanced,10,sqrt,5,200
pde,3874,1497,209,0.1396125584502338,0.7230489761954293,0.3122397133716769,0.14387161773952759,0.4965455629514918,balanced_subsample,20,sqrt,5,200
