test_project,n_test,defective,prevalence,raw_roc_auc,calibrated_roc_auc,raw_pr_auc,calibrated_pr_auc,raw_brier,calibrated_brier,brier_improvement,calibration_slope,calibration_intercept
eclipse,997,206,0.20661985957873621,0.7447927534275158,0.7447927534275158,0.5299680892225997,0.5299680892225997,0.2186815414249345,0.139579412768596,0.0791021286563385,3.7036640636826883,-3.0758912225034396
equinox,324,129,0.39814814814814814,0.7595706618962432,0.7595706618962432,0.6959220237198399,0.6959220237198399,0.2013684279350359,0.264694880537062,-0.06332645260202613,4.279760586332621,-3.250118710564162
lucene,691,64,0.09261939218523878,0.7457635566188198,0.7457635566188198,0.33712930187555235,0.33712930187555235,0.11425019931135966,0.07655299373502276,0.03769720557633689,4.037805196191643,-3.124018618121213
mylyn,1862,245,0.13157894736842105,0.7149483169891333,0.7149483169891333,0.36864275590003415,0.36864275590003415,0.11762870574961701,0.10289003728719676,0.014738668462420251,3.547639817873006,-3.0158090626579437
pde,1497,209,0.1396125584502338,0.7230489761954293,0.7230489761954293,0.3122397133716769,0.3122397133716769,0.14387161773952759,0.10993372945885596,0.033937888280671624,3.509464447766457,-2.9272924148483472
