outer_test_project,class_weight,max_depth,max_features,min_samples_leaf,n_estimators,mean_pr_auc,mean_roc_auc,mean_brier
lucene,balanced,,sqrt,1,200,0.43720322330878914,0.714243449824247,0.1598698948773252
lucene,balanced,,sqrt,3,200,0.4519672683962582,0.7111203137295541,0.16415596009381905
lucene,balanced,,sqrt,5,200,0.46055138616359587,0.7163563527621679,0.17040466703913715
lucene,balanced,,0.5,1,200,0.40782140300356196,0.6878645789362342,0.16423907176573255
lucene,balanced,,0.5,3,200,0.441421883359824,0.7059002714285031,0.1658328234047554
lucene,balanced,,0.5,5,200,0.4503735775172711,0.7118886671147808,0.17156866324714123
lucene,balanced,10.0,sqrt,1,200,0.44354554597521423,0.7131300646188418,0.1638631167934617
lucene,balanced,10.0,sqrt,3,200,0.45146364792546306,0.7184602173960692,0.169617592018192
lucene,balanced,10.0,sqrt,5,200,0.46628877425093196,0.7251572562322288,0.17394416321101164
lucene,balanced,10.0,0.5,1,200,0.4229659318325443,0.6992791504036442,0.1695287937119785
lucene,balanced,10.0,0.5,3,200,0.4464504540614196,0.710617518591051,0.17132826506644186
lucene,balanced,10.0,0.5,5,200,0.4504707559029955,0.7171835315961524,0.17457750555943313
lucene,balanced,20.0,sqrt,1,200,0.43543630892840435,0.7135094479003847,0.15932763069494832
lucene,balanced,20.0,sqrt,3,200,0.4541723949659939,0.71263164177806,0.16433790437584475
lucene,balanced,20.0,sqrt,5,200,0.45906443866543056,0.7168908698223664,0.17026387323955525
lucene,balanced,20.0,0.5,1,200,0.41111830198851435,0.6898363302863912,0.16356653158965648
lucene,balanced,20.0,0.5,3,200,0.4405022006959348,0.7070228491043814,0.1658688827778527
lucene,balanced,20.0,0.5,5,200,0.4497697746002186,0.7113075961555525,0.17168060797069415
lucene,balanced_subsample,,sqrt,1,200,0.4380415058648769,0.7165320034393758,0.15940887278109606
lucene,balanced_subsample,,sqrt,3,200,0.45516494072484903,0.7190197011263091,0.16323613089320343
lucene,balanced_subsample,,sqrt,5,200,0.45847595761634946,0.7169940708745992,0.1713990357332108
lucene,balanced_subsample,,0.5,1,200,0.41345937187084925,0.6905676493093751,0.16277158318910262
lucene,balanced_subsample,,0.5,3,200,0.4358837829632306,0.6984625774639006,0.167161830716533
lucene,balanced_subsample,,0.5,5,200,0.44480227638882414,0.7048800881849432,0.17192588267066677
lucene,balanced_subsample,10.0,sqrt,1,200,0.43826398034852515,0.7113875776685264,0.16451804893577188
lucene,balanced_subsample,10.0,sqrt,3,200,0.46166140744778594,0.7237451629147752,0.16895827779921685
lucene,balanced_subsample,10.0,sqrt,5,200,0.4649564980798247,0.7254088503152265,0.17469794903053246
lucene,balanced_subsample,10.0,0.5,1,200,0.43336057183209326,0.7050020922861301,0.1675777459241803
lucene,balanced_subsample,10.0,0.5,3,200,0.45172885824193476,0.7126461237974376,0.17124386679223624
lucene,balanced_subsample,10.0,0.5,5,200,0.450256905238405,0.7150606833855164,0.17650555547732377
lucene,balanced_subsample,20.0,sqrt,1,200,0.4358164722772395,0.7114130801543177,0.15948340488286517
lucene,balanced_subsample,20.0,sqrt,3,200,0.45492418729147854,0.719044965894643,0.16339563741944424
lucene,balanced_subsample,20.0,sqrt,5,200,0.458317013768499,0.7168872498110131,0.17153518062328418
lucene,balanced_subsample,20.0,0.5,1,200,0.41321381773651533,0.6932724365906094,0.16202489279877286
lucene,balanced_subsample,20.0,0.5,3,200,0.43657684523233375,0.6994454012803286,0.1672148188348361
lucene,balanced_subsample,20.0,0.5,5,200,0.4441383170679802,0.7051693360793815,0.17197649954421232
mylyn,balanced,,sqrt,1,200,0.39128151264971056,0.6851808948871791,0.16109331172516486
mylyn,balanced,,sqrt,3,200,0.4142546906780108,0.6903668143237163,0.16899919832656224
mylyn,balanced,,sqrt,5,200,0.42387812500598715,0.6949236531431977,0.17728822420035428
mylyn,balanced,,0.5,1,200,0.3699393853550165,0.6746067324318292,0.16354010515711315
mylyn,balanced,,0.5,3,200,0.3971720789907183,0.6736867234183086,0.17035022647458775
mylyn,balanced,,0.5,5,200,0.41183433587113305,0.6832683971979894,0.17827144659144364
mylyn,balanced,10.0,sqrt,1,200,0.41118252922860976,0.6892068881850464,0.16664506616455715
mylyn,balanced,10.0,sqrt,3,200,0.4242509980825808,0.6995257144228322,0.17329173932106695
mylyn,balanced,10.0,sqrt,5,200,0.431235484554476,0.7041416440216328,0.1801644052554951
mylyn,balanced,10.0,0.5,1,200,0.38738597127935526,0.6859405180851121,0.16925735644229928
mylyn,balanced,10.0,0.5,3,200,0.4096547538505516,0.6846986956936387,0.17379025507941692
mylyn,balanced,10.0,0.5,5,200,0.4188710791325872,0.6921807258283195,0.1795993557955996
mylyn,balanced,20.0,sqrt,1,200,0.390522553063308,0.6853217408669168,0.16107371643029714
mylyn,balanced,20.0,sqrt,3,200,0.41407638192130036,0.6904343943870419,0.16907110392806884
mylyn,balanced,20.0,sqrt,5,200,0.42455716168001245,0.6946807361940159,0.17732094792102665
mylyn,balanced,20.0,0.5,1,200,0.37623749281828944,0.6746034084591671,0.16291356441540258
mylyn,balanced,20.0,0.5,3,200,0.3953221223538569,0.6728635408814823,0.17046940102790992
mylyn,balanced,20.0,0.5,5,200,0.4114286761038401,0.6831031530216911,0.17831140853256935
mylyn,balanced_subsample,,sqrt,1,200,0.3938080869263404,0.6976437971651708,0.15986940521257048
mylyn,balanced_subsample,,sqrt,3,200,0.41710650295272655,0.6892536241155056,0.168337180351879
mylyn,balanced_subsample,,sqrt,5,200,0.42729981298120895,0.6994863012714526,0.17592598100642623
mylyn,balanced_subsample,,0.5,1,200,0.3771170782615635,0.6830163309747171,0.1620808518914316
mylyn,balanced_subsample,,0.5,3,200,0.39940458384182664,0.675860482611097,0.1708793718624704
mylyn,balanced_subsample,,0.5,5,200,0.4097631703507988,0.6807324196426721,0.17865831588004066
mylyn,balanced_subsample,10.0,sqrt,1,200,0.41217817008822183,0.69750600060793,0.165315164579184
mylyn,balanced_subsample,10.0,sqrt,3,200,0.4247071643035595,0.7021892196842588,0.17363012365554203
mylyn,balanced_subsample,10.0,sqrt,5,200,0.4299813427452215,0.7036230798132044,0.1805612682428779
mylyn,balanced_subsample,10.0,0.5,1,200,0.3903483043554319,0.6786158750727005,0.16945558738114655
mylyn,balanced_subsample,10.0,0.5,3,200,0.40228926871410087,0.6835275287834747,0.17587913305885045
mylyn,balanced_subsample,10.0,0.5,5,200,0.4232178656548424,0.6951597932074989,0.18017380463923355
mylyn,balanced_subsample,20.0,sqrt,1,200,0.39320638316070566,0.6959842632251538,0.16011023247567746
mylyn,balanced_subsample,20.0,sqrt,3,200,0.4171205491504068,0.6894171387937625,0.1684977287424792
mylyn,balanced_subsample,20.0,sqrt,5,200,0.42797564474276234,0.7000664625584544,0.17594465708505252
mylyn,balanced_subsample,20.0,0.5,1,200,0.37987258898658244,0.6831511406553664,0.1622476961628959
mylyn,balanced_subsample,20.0,0.5,3,200,0.4000311278991574,0.676529328222831,0.17089900659055846
mylyn,balanced_subsample,20.0,0.5,5,200,0.4101415853276904,0.6809314844837198,0.17862419808612645
pde,balanced,,sqrt,1,200,0.4683723572464116,0.7318384900252879,0.15349041270275315
pde,balanced,,sqrt,3,200,0.48438443346048154,0.7345864067632131,0.1642648326423259
pde,balanced,,sqrt,5,200,0.4958561144055801,0.7425801033957387,0.17314236883744807
pde,balanced,,0.5,1,200,0.4503133166652198,0.7239698041450184,0.15551279300803086
pde,balanced,,0.5,3,200,0.4921338750928236,0.7367371333303556,0.1625658474493574
pde,balanced,,0.5,5,200,0.4899608715342858,0.7397188914992077,0.17204607220796567
pde,balanced,10.0,sqrt,1,200,0.47292628483760224,0.7342982183407473,0.15750707991686502
pde,balanced,10.0,sqrt,3,200,0.48852800261028906,0.7416362494734016,0.16725662610236733
pde,balanced,10.0,sqrt,5,200,0.49502439603509857,0.7431313450219945,0.1746019844904708
pde,balanced,10.0,0.5,1,200,0.4584809337013632,0.7300352681145419,0.16074904908237475
pde,balanced,10.0,0.5,3,200,0.48570903043074753,0.741942024614193,0.16625007071520215
pde,balanced,10.0,0.5,5,200,0.4893190560051765,0.7418472513632883,0.17447993406818055
pde,balanced,20.0,sqrt,1,200,0.46863236056270563,0.733596830800811,0.1533092789671782
pde,balanced,20.0,sqrt,3,200,0.4838641278197819,0.7344633040386677,0.1645164549681988
pde,balanced,20.0,sqrt,5,200,0.4959440843970129,0.742781453529342,0.17313227864940228
pde,balanced,20.0,0.5,1,200,0.4529279313538482,0.7224205982117068,0.1567945758078102
pde,balanced,20.0,0.5,3,200,0.49152883553677185,0.7368458245778168,0.16232266498038983
pde,balanced,20.0,0.5,5,200,0.48981769582738277,0.7397081725936303,0.17202056259196047
pde,balanced_subsample,,sqrt,1,200,0.462578827459984,0.7395210079485711,0.1534009636321214
pde,balanced_subsample,,sqrt,3,200,0.48370041689671905,0.739169331500555,0.1641541385115099
pde,balanced_subsample,,sqrt,5,200,0.49622324587821726,0.7422136256712943,0.1715295789703647
pde,balanced_subsample,,0.5,1,200,0.45583607966900863,0.7221997346990677,0.15612167732143756
pde,balanced_subsample,,0.5,3,200,0.488448681561524,0.7381714843734521,0.164353151117869
pde,balanced_subsample,,0.5,5,200,0.49331890434254055,0.7437928271690777,0.17276464260586388
pde,balanced_subsample,10.0,sqrt,1,200,0.4705443694625778,0.7292496350858171,0.1582594341214356
pde,balanced_subsample,10.0,sqrt,3,200,0.48488122296613817,0.7394066252274898,0.16734873650316173
pde,balanced_subsample,10.0,sqrt,5,200,0.49301607115992085,0.7410666656519346,0.17482064497528987
pde,balanced_subsample,10.0,0.5,1,200,0.4613222385526269,0.7319866190895183,0.16121285391566018
pde,balanced_subsample,10.0,0.5,3,200,0.48576364017074497,0.7414210472215648,0.16635614832674453
pde,balanced_subsample,10.0,0.5,5,200,0.4930302255320879,0.7442334855187367,0.1743947056136472
pde,balanced_subsample,20.0,sqrt,1,200,0.46937082206347724,0.738032985420906,0.1533316732069398
pde,balanced_subsample,20.0,sqrt,3,200,0.48292712211898936,0.7390352803235556,0.164258431624309
pde,balanced_subsample,20.0,sqrt,5,200,0.4965455629514918,0.7417227880333102,0.17159318167110327
pde,balanced_subsample,20.0,0.5,1,200,0.4620768904219499,0.7272280777332553,0.15455467648343377
pde,balanced_subsample,20.0,0.5,3,200,0.4895455536242994,0.7389411178250984,0.16411559246956134
pde,balanced_subsample,20.0,0.5,5,200,0.4929544424113226,0.7435320084457324,0.17281498798897543
